,bandgap,theory_data,expt_data,reduced_formula,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,prediction,pred_dist_to_ideal,cost_ratio
0,0.0,1,0,CsIrO3,Cs1 Ir1 O3,8.0,77.0,69.0,31.2,27.84,8.0,5.0,87.0,82.0,65.2,26.160000000000004,87.0,15.9994,192.217,176.2176,74.62413038,70.349676456,15.9994,54.8,2739.0,2684.2,640.998,839.2008,54.8,1.0,16.0,15.0,11.6,5.279999999999999,16.0,2.0,6.0,4.0,3.6,1.9200000000000004,2.0,66.0,244.0,178.0,116.6,60.72000000000001,66.0,0.79,3.44,2.65,2.662,0.9336,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,7.0,7.0,1.4,2.24,0.0,0.0,14.0,14.0,2.8,4.48,0.0,1.0,23.0,22.0,8.4,5.8400000000000025,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.4,2.0,9.105,115.765,106.66,31.458,33.7228,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.0,103.2,12.0,,,1
1,0.0,1,0,Ho(BC)2,Ho1 B2 C2,5.0,67.0,62.0,17.8,19.68,5.0,33.0,77.0,44.0,66.2,13.279999999999998,72.0,10.811,164.93032,154.11932,42.114744,49.1262304,10.811,1747.0,3823.0,2076.0,2817.8,804.1600000000003,2348.0,3.0,14.0,11.0,11.4,3.3599999999999994,13.0,2.0,6.0,4.0,2.8,1.2799999999999998,2.0,76.0,192.0,116.0,102.4,35.84,76.0,1.23,2.55,1.3199999999999998,2.082,0.3743999999999999,2.04,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.2,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2.2,3.5200000000000005,0.0,3.0,13.0,10.0,5.4,3.04,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.6,1.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.6,0.96,0.0,3.0,5.0,2.0,4.2,0.64,4.0,5.64,30.7333333333,25.0933333333,11.271666666660002,7.784666666655999,5.64,0.0,4.496,4.496,2.4080000000000004,1.6704,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,194.0,28.0,182.8,13.439999999999998,166.0,,,1
2,0.7217,1,0,K10Mn4Sn4S17,K10 Mn4 Sn4 S17,16.0,50.0,34.0,21.771428571428565,7.190204081632652,16.0,3.0,88.0,85.0,58.68571428571428,33.34857142857143,88.0,32.065,118.71,86.645,46.590862285714294,18.3923018122449,32.065,336.53,1519.0,1182.47,516.1068571428569,229.23271836734688,388.36,1.0,16.0,15.0,10.457142857142856,6.194285714285715,16.0,3.0,5.0,2.0,3.6285714285714286,0.6106122448979593,3.0,105.0,203.0,98.0,140.77142857142857,35.559183673469384,105.0,0.82,2.58,1.7600000000000002,1.8885714285714283,0.6880000000000002,2.58,1.0,2.0,1.0,1.7142857142857142,0.4081632653061224,2.0,0.0,4.0,4.0,2.171428571428572,1.7763265306122449,4.0,0.0,10.0,10.0,1.7142857142857142,2.644897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,5.6,2.628571428571429,6.0,0.0,1.0,1.0,0.2857142857142857,0.4081632653061224,0.0,0.0,4.0,4.0,1.4285714285714286,1.1428571428571428,2.0,0.0,5.0,5.0,0.5714285714285714,1.0122448979591838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.2857142857142856,1.0122448979591838,2.0,10.487586206900001,73.10666666670002,62.619080459799996,38.415253899845716,19.82366443820245,25.786875,0.0,2.202,2.202,1.0695428571428571,1.100101224489796,2.202,0.0,0.000310120689655,0.000310120689655,3.5442364531999994e-05,6.278361717097142e-05,0.0,70.0,229.0,159.0,140.34285714285716,68.3330612244898,70.0,,,1
3,1.58,0,1,BiSI,Bi1 S1 I1,16.0,83.0,67.0,50.66666666666666,23.11111111111111,16.0,86.0,96.0,10.0,90.0,4.0,86.0,32.065,208.9804,176.9154,122.64995666666668,60.389971111111116,32.065,386.85,544.4,157.54999999999995,439.87000000000006,69.68666666666667,386.85,15.0,17.0,2.0,16.0,0.6666666666666666,15.0,3.0,6.0,3.0,4.666666666666667,1.111111111111111,3.0,105.0,148.0,43.0,130.66666666666666,17.111111111111118,105.0,2.02,2.66,0.6400000000000001,2.42,0.2666666666666668,2.02,2.0,2.0,0.0,2.0,0.0,2.0,3.0,5.0,2.0,4.0,0.6666666666666666,3.0,0.0,10.0,10.0,6.666666666666668,4.444444444444444,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222222,0.0,6.0,29.0,23.0,17.333333333333332,7.777777777777778,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.6666666666666666,1.0,25.786875,43.015,17.228125000000002,33.917291666666664,6.065138888888887,25.786875,0.0,2.202,2.202,1.088,0.7426666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,70.0,58.0,48.66666666666666,24.44444444444445,12.0,,,10
4,2.04,0,1,La10Se14O,La10 Se14 O1,8.0,57.0,49.0,42.16,11.871999999999998,34.0,13.0,89.0,76.0,58.52,36.416,89.0,15.9994,138.90547,122.90607,100.419764,30.78856480000001,78.96,54.8,1193.0,1138.2,756.0319999999997,349.5744,494.0,3.0,16.0,13.0,10.8,6.2399999999999975,16.0,2.0,6.0,4.0,4.72,1.024,4.0,66.0,207.0,141.0,152.64,43.48799999999999,120.0,1.1,3.44,2.34,2.0056,0.7244799999999999,2.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,10.0,10.0,6.0,4.48,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0,10.4,6.271999999999999,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.8,3.3599999999999994,2.0,9.105,36.8975,27.7925,29.6384,5.80728,25.92,0.0,0.799,0.799,0.44744,0.3937472,0.799,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,85.92,86.464,14.0,,,10
5,0.0,1,0,Ta3P,Ta3 P1,15.0,73.0,58.0,58.5,21.75,73.0,48.0,83.0,35.0,56.75,13.125,48.0,30.973762,180.94788,149.974118,143.45435049999998,56.24029425,180.94788,317.3,3290.0,2972.7,2546.825,1114.7625,3290.0,5.0,15.0,10.0,7.5,3.75,5.0,3.0,6.0,3.0,5.25,1.125,6.0,107.0,170.0,63.0,154.25,23.625,170.0,1.5,2.19,0.69,1.6725,0.2587499999999999,1.5,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,0.75,1.125,0.0,0.0,3.0,3.0,2.25,1.125,3.0,0.0,14.0,14.0,10.5,5.25,14.0,5.0,19.0,14.0,15.5,5.25,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.75,1.125,0.0,0.0,7.0,7.0,5.25,2.625,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,6.0,1.5,7.0,18.12,22.5702380952,4.4502380952,19.232559523800003,1.668839285699999,18.12,0.0,1.625,1.625,0.40625,0.609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,172.25,85.125,229.0,,,1
6,0.0,1,0,Nd2WC2,Nd2 W1 C2,6.0,74.0,68.0,41.2,28.160000000000004,6.0,19.0,77.0,58.0,48.6,23.68,19.0,12.0107,183.84,171.8293,99.26908,69.80670400000001,12.0107,1294.0,3823.0,2529.0,2785.8,1193.44,1294.0,3.0,14.0,11.0,8.0,4.8,3.0,2.0,6.0,4.0,4.4,1.92,2.0,76.0,201.0,125.0,143.2,53.76000000000001,76.0,1.14,2.55,1.41,1.9480000000000002,0.6464,1.14,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,14.0,14.0,4.4,3.8400000000000007,0.0,4.0,20.0,16.0,8.0,4.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.9200000000000004,0.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,10.0,10.0,4.0,4.8,0.0,4.0,10.0,6.0,6.8,2.56,4.0,5.64,34.81,29.17,19.39,12.336000000000002,5.64,0.0,4.496,4.496,1.7984000000000002,2.1580800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,201.0,11.2,194.0,,,1
7,0.0,0,1,Nb2Cr4Si5,Nb2 Cr4 Si5,14.0,41.0,27.0,22.54545454545455,7.768595041322314,14.0,47.0,78.0,31.0,61.81818181818182,14.710743801652892,78.0,28.0855,92.90638,64.82088,48.56587818181818,18.618525619834713,28.0855,1687.0,2750.0,1063.0,2059.5454545454545,338.67768595041315,1687.0,5.0,14.0,9.0,9.454545454545457,4.132231404958676,14.0,3.0,5.0,2.0,3.727272727272727,0.6611570247933884,3.0,111.0,164.0,53.0,130.8181818181818,18.016528925619834,111.0,1.6,1.9,0.2999999999999998,1.758181818181818,0.1289256198347107,1.9,1.0,2.0,1.0,1.4545454545454546,0.4958677685950414,2.0,0.0,2.0,2.0,0.9090909090909092,0.9917355371900826,2.0,0.0,5.0,5.0,2.5454545454545454,2.31404958677686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.909090909090909,0.8264462809917354,4.0,0.0,1.0,1.0,0.5454545454545454,0.4958677685950414,0.0,0.0,4.0,4.0,1.8181818181818181,1.9834710743801651,4.0,0.0,6.0,6.0,2.9090909090909087,2.6446280991735542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.2727272727272725,1.1570247933884297,4.0,11.19,20.44,9.250000000000002,16.665454545454544,3.9821487603305794,20.44,0.0,0.773,0.773,0.3513636363636364,0.38330578512396696,0.773,0.0,0.0,0.0,0.0,0.0,0.0,227.0,229.0,2.0,228.0909090909091,0.9917355371900825,227.0,,,10
8,0.0,1,0,PrIn,Pr1 In1,49.0,59.0,10.0,54.0,5.0,49.0,17.0,75.0,58.0,46.0,29.0,17.0,114.818,140.90765,26.089649999999992,127.862825,13.044824999999996,114.818,429.75,1204.0,774.25,816.875,387.125,429.75,3.0,13.0,10.0,8.0,5.0,3.0,5.0,6.0,1.0,5.5,0.5,5.0,142.0,203.0,61.0,172.5,30.5,142.0,1.13,1.78,0.6500000000000001,1.455,0.3250000000000001,1.13,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,3.0,3.0,1.5,1.5,0.0,5.0,13.0,8.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5.5,5.5,0.0,5.0,11.0,6.0,8.0,3.0,5.0,24.26,35.675,11.414999999999996,29.9675,5.707499999999998,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,194.0,55.0,166.5,27.5,139.0,,,1
9,0.0,0,1,CoAsRh,Co1 As1 Rh1,27.0,45.0,18.0,35.0,6.666666666666668,27.0,58.0,84.0,26.0,67.0,11.333333333333336,58.0,58.933195,102.9055,43.97230500000001,78.92009833333333,15.99026777777778,58.933195,1090.0,2237.0,1147.0,1698.333333333333,405.5555555555557,1090.0,9.0,15.0,6.0,11.0,2.6666666666666665,9.0,4.0,5.0,1.0,4.333333333333333,0.4444444444444444,4.0,119.0,142.0,23.0,129.0,8.666666666666666,119.0,1.88,2.28,0.3999999999999999,2.1133333333333333,0.1555555555555556,1.88,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,7.0,10.0,3.0,8.333333333333334,1.1111111111111114,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,6.0,11.0,2.6666666666666665,9.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,3.0,3.0,1.6666666666666667,1.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,10.245,22.175,11.93,15.353333333333332,4.547777777777778,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.5161570666666667,0.6882094222222221,0.0,166.0,225.0,59.0,195.0,20.0,166.0,,,10
